SP_ENTITY_ID,year_next,proba_distress,is_distressed_pred
103339,2019,0.02251254191106788,0
103339,2020,0.025887916189785042,0
103339,2021,0.012916001876958974,0
103339,2022,0.015283928550544367,0
103347,2019,0.13398530887971227,0
103697,2019,0.009287671028659636,0
103697,2020,0.009287671028659636,0
103697,2021,0.009224613481442627,0
103697,2022,0.012136804540780451,0
103699,2019,0.032509380100631785,0
103699,2020,0.03544789584684595,0
103699,2021,0.040129772481000234,0
103699,2022,0.030652407566185227,0
105022,2019,0.10817747614400725,0
105022,2020,0.14230515656323486,0
105022,2021,0.1601015781610753,0
105022,2022,0.17659390344728784,0
105135,2019,0.018889823613151956,0
105135,2020,0.014915148973686603,0
105135,2021,0.014915148973686603,0
105135,2022,0.014016701756295722,0
105223,2019,0.03793092278974681,0
105223,2020,0.06015813509163612,0
105223,2021,0.06407893690081125,0
105223,2022,0.0697699841187437,0
105346,2019,0.1453539743380742,0
105346,2020,0.15502754020832987,0
105346,2021,0.2000360721956318,0
105346,2022,0.12714248754647742,0
105364,2019,0.03626890155965809,0
105364,2020,0.018548244448755004,0
105364,2021,0.022040564980758966,0
105364,2022,0.02639839499445223,0
107257,2019,0.008147024846508226,0
107257,2020,0.014334742476432943,0
107257,2021,0.011880847662566647,0
107257,2022,0.009287671028659636,0
107320,2019,0.002866035360098735,0
107320,2020,0.002866035360098735,0
107320,2021,0.002866035360098735,0
107320,2022,0.0026381366381755004,0
108391,2019,0.057684195702219075,0
108391,2020,0.013951631828649008,0
108391,2021,0.05868460672000483,0
108391,2022,0.6515100697661115,1
111564,2019,0.0026381366381755004,0
111564,2020,0.002866035360098735,0
111564,2021,0.0029651008727772194,0
111564,2022,0.006263386521236616,0
111568,2019,0.05984980347192483,0
111568,2020,0.0575286414023775,0
111568,2021,0.0335558767484863,0
111568,2022,0.0335558767484863,0
111620,2019,0.01367571321182796,0
111620,2020,0.002829861940747209,0
111620,2021,0.002911090222620546,0
111620,2022,0.0026381366381755004,0
113493,2019,0.6348062428458832,0
113873,2019,0.05029708735145072,0
113873,2020,0.05992532648619968,0
113873,2021,0.009780195246724127,0
113873,2022,0.012759547345363336,0
114008,2019,0.004262476932289003,0
114008,2020,0.003713945268977025,0
114008,2021,0.003713945268977025,0
114008,2022,0.003414509819502692,0
114523,2019,0.003591391769234864,0
114523,2020,0.0037593534307395937,0
114523,2021,0.003307516039979282,0
114523,2022,0.0033330630950304725,0
114526,2019,0.005936422286634897,0
114526,2020,0.0029807191017750105,0
114526,2021,0.0026968433725194285,0
114526,2022,0.0026381366381755004,0
114527,2019,0.013504909948547085,0
114527,2020,0.052259769752784055,0
114527,2021,0.04301574493372277,0
114527,2022,0.008040812399587033,0
1031164,2019,0.003414509819502692,0
1031164,2020,0.003414509819502692,0
1031164,2021,0.003414509819502692,0
1031164,2022,0.008995337679492737,0
3001622,2019,0.003414509819502692,0
3001622,2020,0.003414509819502692,0
3001622,2021,0.003414509819502692,0
3001622,2022,0.003874354821746568,0
3001792,2019,0.003713945268977025,0
3001792,2020,0.003414509819502692,0
3001792,2021,0.003713945268977025,0
3001792,2022,0.01101622028228259,0
3001871,2019,0.012229865007696577,0
3001871,2020,0.037214572872257275,0
3001871,2021,0.3181389465573801,0
3001871,2022,0.35654651931873205,0
3002287,2019,0.0032086178236982437,0
3002287,2020,0.005578224435555711,0
3002287,2021,0.0026381366381755004,0
3002287,2022,0.0029321779759393434,0
3002455,2019,0.0026381366381755004,0
3002455,2020,0.007713673491574966,0
3002455,2021,0.0033330630950304725,0
3002455,2022,0.0033330630950304725,0
3004134,2019,0.030606100732751707,0
3004134,2020,0.03593324420404782,0
3004134,2021,0.00907295824551025,0
3004134,2022,0.008268542014712707,0
3005684,2019,0.17012748317351978,0
3005684,2020,0.03923757851410128,0
3005684,2021,0.16984698797189093,0
3005684,2022,0.30478130814116605,0
3009080,2019,0.007311610002995616,0
3009080,2020,0.003713945268977025,0
3009080,2021,0.003414509819502692,0
3009080,2022,0.0035558014245670212,0
3009591,2019,0.021443452271651776,0
3009591,2020,0.02024935432595318,0
3009591,2021,0.023456795370946457,0
3009591,2022,0.017948027131609933,0
4000193,2019,0.022989963356543592,0
4000193,2020,0.1229264271568595,0
4000193,2021,0.09969635977044643,0
4000193,2022,0.07687454787675432,0
4000338,2019,0.11165456464896874,0
4000338,2020,0.12443256593603928,0
4000338,2021,0.1018034507491772,0
4000338,2022,0.07733173877274545,0
4000796,2019,0.13412969221864046,0
4000796,2020,0.35047485479893614,0
4000796,2021,0.03426447630088235,0
4000796,2022,0.025225019968186112,0
4001036,2019,0.008147024846508226,0
4001036,2020,0.011259637112101534,0
4001036,2021,0.008256101203704753,0
4001036,2022,0.003416770967140084,0
4001527,2019,0.006415621166125148,0
4001527,2020,0.00952310442826731,0
4001527,2021,0.009451916873495043,0
4001527,2022,0.016239088308522456,0
4001586,2019,0.0029807191017750105,0
4001586,2020,0.0034596218859325265,0
4001586,2021,0.002911090222620546,0
4001586,2022,0.002911090222620546,0
4001590,2019,0.009141726394627075,0
4001590,2020,0.024563070243120017,0
4001590,2021,0.008293759281840762,0
4001590,2022,0.00796712341179498,0
4001600,2019,0.006517812135468771,0
4001600,2020,0.008991844206620704,0
4001600,2021,0.006517812135468771,0
4001600,2022,0.004798964027384692,0
4001601,2019,0.028236838865415587,0
4001601,2020,0.010416260801407087,0
4001601,2021,0.006576574537073624,0
4001601,2022,0.00796712341179498,0
4001605,2019,0.0032488093056353543,0
4001605,2020,0.006415621166125148,0
4001605,2021,0.007618092468931134,0
4001605,2022,0.0429507267411387,0
4001615,2019,0.002631773444872712,0
4001615,2020,0.02854855732477969,0
4001615,2021,0.014077366631488899,0
4001615,2022,0.013952451823250073,0
4001703,2019,0.0033736023942249086,0
4001703,2020,0.004439358882021176,0
4001703,2021,0.003620871352213737,0
4001703,2022,0.0030310199306253995,0
4001739,2019,0.01643508231201316,0
4001739,2020,0.05673928641166248,0
4001739,2021,0.032624563240557354,0
4001739,2022,0.028227365208735415,0
4001948,2019,0.016659534660823757,0
4001948,2020,0.06801797758989367,0
4001948,2021,0.03272173284161413,0
4001948,2022,0.03570203864822055,0
4004086,2019,0.02620117175063871,0
4004086,2020,0.3248430141748446,0
4004086,2021,0.04349509235553725,0
4004086,2022,0.05078153857857608,0
4004092,2019,0.003414509819502692,0
4004092,2020,0.003414509819502692,0
4004092,2021,0.0033330630950304725,0
4004092,2022,0.003414509819502692,0
4004095,2019,0.22917223021574917,0
4004095,2020,0.2893744687653498,0
4004095,2021,0.396020723061397,0
4004095,2022,0.21033887979370344,0
4004099,2019,0.03022123339533751,0
4004099,2020,0.021115737567361098,0
4004099,2021,0.07620399540220306,0
4004099,2022,0.07620399540220306,0
4004104,2019,0.00796712341179498,0
4004104,2020,0.008994991959294539,0
4004104,2021,0.04151374689062676,0
4004104,2022,0.008147024846508226,0
4004107,2019,0.19915334552891018,0
4004107,2020,0.13494442038274337,0
4004107,2021,0.14393583524460088,0
4004107,2022,0.07006048745785835,0
4004135,2019,0.0261502187308361,0
4004135,2020,0.0161502187308361,0
4004135,2021,0.013779092422548383,0
4004135,2022,0.017048665948226984,0
4004175,2019,0.007655264601044844,0
4004175,2020,0.008799007553164796,0
4004175,2021,0.004155650449163042,0
4004175,2022,0.007464916782333867,0
4004201,2019,0.004387391740527829,0
4004201,2020,0.004923878835623518,0
4004201,2021,0.003473216553846619,0
4004201,2022,0.003713945268977025,0
4004205,2019,0.0030522655900190364,0
4004205,2020,0.013952451823250073,0
4004205,2021,0.027548101993179225,0
4004205,2022,0.09251308045396626,0
4004212,2019,0.003713945268977025,0
4004212,2020,0.004798964027384692,0
4004212,2021,0.003414509819502692,0
4004212,2022,0.004798964027384692,0
4004214,2019,0.018308530919318316,0
4004214,2020,0.005628742353516003,0
4004214,2021,0.002800965432452019,0
4004214,2022,0.002933027106140807,0
4004236,2019,0.013749524876132515,0
4004236,2020,0.027914365628457206,0
4004236,2021,0.019481377529777327,0
4004236,2022,0.01858148450376336,0
4004261,2019,0.016285046550473532,0
4004261,2020,0.019505381843366344,0
4004261,2021,0.02333508889020913,0
4004261,2022,0.028349518579579337,0
4004265,2019,0.003414509819502692,0
4004265,2020,0.003414509819502692,0
4004265,2021,0.003414509819502692,0
4004265,2022,0.003349439891855976,0
4004271,2019,0.003414509819502692,0
4004271,2020,0.003349439891855976,0
4004271,2021,0.003414509819502692,0
4004271,2022,0.003414509819502692,0
4004278,2019,0.02942067588659871,0
4004278,2020,0.17690114912849292,0
4004278,2021,0.25776765738475527,0
4004278,2022,0.11725096027237117,0
4004286,2019,0.004693971617238003,0
4004286,2020,0.05410490487334745,0
4004286,2021,0.009141726394627075,0
4004286,2022,0.006263386521236616,0
4004303,2019,0.003414509819502692,0
4004303,2020,0.003713945268977025,0
4004303,2021,0.003414509819502692,0
4004303,2022,0.003414509819502692,0
4004310,2019,0.006150669136736014,0
4004310,2020,0.016316329958466644,0
4004310,2021,0.00696273431069864,0
4004310,2022,0.006150669136736014,0
4004318,2019,0.008440545155641268,0
4004318,2020,0.012524526400624583,0
4004318,2021,0.013451896074556076,0
4004318,2022,0.07029804073347098,0
4004350,2019,0.003414509819502692,0
4004350,2020,0.003414509819502692,0
4004350,2021,0.003414509819502692,0
4004350,2022,0.003414509819502692,0
4004396,2019,0.0298321342718477,0
4004396,2020,0.024972548765490855,0
4004396,2021,0.015656072132580766,0
4004396,2022,0.020549419542922186,0
4004397,2019,0.003620871352213737,0
4004397,2020,0.003620871352213737,0
4004397,2021,0.003414509819502692,0
4004397,2022,0.003620871352213737,0
4004412,2019,0.0029321779759393434,0
4004412,2020,0.003414509819502692,0
4004412,2021,0.003414509819502692,0
4004412,2022,0.0029651008727772194,0
4004416,2019,0.11949163364010262,0
4004416,2020,0.015447737198737798,0
4004416,2021,0.015238236436453253,0
4004416,2022,0.011196028909737676,0
